pId,condition,timestamp,HR,HRV
p001_tamil_iteration2,1,2023-04-12T09:39:28.369+12:00,,1106
p001_tamil_iteration2,1,2023-04-12T09:39:29.427+12:00,,1100
p001_tamil_iteration2,1,2023-04-12T09:39:30.563+12:00,,1095
p001_tamil_iteration2,1,2023-04-12T09:39:31.295+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:31.701+12:00,,1100
p001_tamil_iteration2,1,2023-04-12T09:39:32.677+12:00,,1101
p001_tamil_iteration2,1,2023-04-12T09:39:33.897+12:00,,1107
p001_tamil_iteration2,1,2023-04-12T09:39:34.951+12:00,,1115
p001_tamil_iteration2,1,2023-04-12T09:39:36.172+12:00,,1123
p001_tamil_iteration2,1,2023-04-12T09:39:36.332+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:37.227+12:00,,1134
p001_tamil_iteration2,1,2023-04-12T09:39:38.447+12:00,,1135
p001_tamil_iteration2,1,1970-01-20T23:00:49.178+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:39.663+12:00,,1139
p001_tamil_iteration2,1,2023-04-12T09:39:40.720+12:00,,1148
p001_tamil_iteration2,1,2023-04-12T09:39:41.858+12:00,,1151
p001_tamil_iteration2,1,2023-04-12T09:39:42.915+12:00,,1159
p001_tamil_iteration2,1,2023-04-12T09:39:44.213+12:00,,1169
p001_tamil_iteration2,1,2023-04-12T09:39:44.455+12:00,53,
p001_tamil_iteration2,1,2023-04-12T09:39:45.433+12:00,,1164
p001_tamil_iteration2,1,2023-04-12T09:39:46.490+12:00,,1159
p001_tamil_iteration2,1,2023-04-12T09:39:47.626+12:00,,1157
p001_tamil_iteration2,1,2023-04-12T09:39:48.764+12:00,,1161
p001_tamil_iteration2,1,2023-04-12T09:39:49.984+12:00,,1158
p001_tamil_iteration2,1,2023-04-12T09:39:51.122+12:00,,1147
p001_tamil_iteration2,1,1970-01-20T23:00:49.190+12:00,,
p001_tamil_iteration2,1,2023-04-12T09:39:52.177+12:00,,1092
p001_tamil_iteration2,1,2023-04-12T09:39:53.152+12:00,,989
p001_tamil_iteration2,1,2023-04-12T09:39:54.207+12:00,,1057
p001_tamil_iteration2,1,2023-04-12T09:39:54.451+12:00,52,
p001_tamil_iteration2,1,2023-04-12T09:39:55.346+12:00,,1122
